Time (s),Altitude (m),Velocity (m/s)
0.0,0.0,0.0
0.1,-0.06809939998799977,-0.6809939998799976
0.2,-0.20429759992799762,-1.3619819993999784
0.30000000000000004,-0.408593999759989,-2.0429639983199137
0.4,-0.680987999399965,-2.72393999639976
0.5,-1.021478998739911,-3.40490999339946
0.6000000000000001,-1.4300663976478054,-4.085873989078942
0.7000000000000001,-1.9067495959676173,-4.766831983198118
0.8,-2.4515279935193064,-5.44778397551689
0.9,-3.0644009900988203,-6.12872996579514
1.0,-3.745367985478094,-6.809669953792739
1.1,-4.494428379405049,-7.490603939269544
1.2000000000000002,-5.311581571603589,-8.171531921985396
1.3,-6.196826961773601,-8.852453901700121
1.4000000000000001,-7.150163949590954,-9.533369878173534
1.5,-8.171591934707497,-10.214279851165431
1.6,-9.261110316751056,-10.895183820435598
1.7000000000000002,-10.418718495325436,-11.576081785743803
1.8,-11.644415870010416,-12.2569737468498
1.9000000000000001,-12.93820184036175,-12.937859703513332
2.0,-14.300075805911161,-13.618739655494124
2.1,-15.730037166166351,-14.299613602551888
2.2,-17.228085320610983,-14.980481544446322
2.3000000000000003,-18.794219668704695,-15.661343480937107
2.4000000000000004,-20.428439609883085,-16.342199411783913
2.5,-22.130744543557725,-17.023049336746393
2.6,-23.901133869116144,-17.703893255584187
2.7,-25.739606985921835,-18.384731168056923
2.8000000000000003,-27.646163293314256,-19.06556307392421
2.9000000000000004,-29.62080219060882,-19.746388972945642
3.0,-31.6635230770969,-20.427208864880804
3.1,-33.77432535204583,-21.108022749489262
3.2,-35.953208414698885,-21.78883062653057
3.3000000000000003,-38.20017166427531,-22.469632495764262
3.4000000000000004,-40.5152144999703,-23.150428356949867
3.5,-42.89833632095499,-23.831218209846895
3.6,-45.349536526376475,-24.51200205421484
3.7,-47.86881451535779,-25.19277988981318
3.8000000000000003,-50.45616968699793,-25.873551716401387
3.9000000000000004,-53.11160144037182,-26.55431753373891
4.0,-55.83510917453034,-27.235077341585185
4.1000000000000005,-58.6266922885003,-27.915831139699637
4.2,-61.48635018128447,-28.596578927841676
4.3,-64.41408225186154,-29.277320705770695
4.4,-67.40988789918615,-29.95805647324607
4.5,-70.47376652218887,-30.638786230027172
4.6000000000000005,-73.6057175197762,-31.31950997587335
4.7,-76.8057402908306,-32.00022771054394
4.800000000000001,-80.07383423421042,-32.680939433798265
4.9,-83.40999874874998,-33.36164514539563
5.0,-86.81423323325951,-34.04234484509533
5.1000000000000005,-90.28653708652517,-34.72303853265664
5.2,-93.82690970730906,-35.40372620783883
5.300000000000001,-97.43535049434917,-36.084407870401144
5.4,-101.11185884635945,-36.76508352010282
5.5,-104.85643416202976,-37.44575315670308
5.6000000000000005,-108.66907584002587,-38.126416779961126
5.7,-112.54978327898948,-38.807074389636156
5.800000000000001,-116.49855587753821,-39.487725985487344
5.9,-120.5153930342656,-40.16837156727385
6.0,-124.60029414774108,-40.849011134754825
6.1000000000000005,-128.75325861651,-41.529644687689405
6.2,-132.97428583909368,-42.210272225836704
6.300000000000001,-137.26337521398926,-42.89089374895583
6.4,-141.62052613966986,-43.57150925680588
6.5,-146.04573801458446,-44.25211874914592
6.6000000000000005,-150.53901023715795,-44.93272222573502
6.7,-155.10034220579118,-45.61331968633222
6.800000000000001,-159.72973331886084,-46.29391113069655
6.9,-164.42718297471953,-46.974496558587035
7.0,-169.1926905716958,-47.65507596976268
7.1000000000000005,-174.02625550809404,-48.33564936398247
7.2,-178.92787718219458,-49.01621674100538
7.300000000000001,-183.89755499225362,-49.69677810059037
7.4,-188.93528833650325,-50.37733344249639
7.5,-194.0410766131515,-51.05788276648237
7.6000000000000005,-199.2149192203822,-51.73842607230723
7.7,-204.4568155563552,-52.41896335972986
7.800000000000001,-209.7667650192061,-53.09949462850915
7.9,-215.1447670070465,-53.780019878403984
8.0,-220.59082091796384,-54.46053910917321
8.1,-226.1049261500214,-55.14105232057568
8.200000000000001,-231.68708210125843,-55.82155951237022
8.3,-237.33728816969,-56.50206068431565
8.4,-243.05554375330706,-57.18255583617076
8.5,-248.8418482500765,-57.86304496769435
8.6,-254.69620105794104,-58.54352807864518
8.700000000000001,-260.61860157481925,-59.224005168782014
8.8,-266.6090491986056,-59.9044762378636
8.9,-272.66754332717045,-60.584941285648654
9.0,-278.79408335836,-61.265400311895895
9.1,-284.9886686899964,-61.94585331636402
9.200000000000001,-291.2512987198776,-62.62630029881173
9.3,-297.58197284577733,-63.30674125899767
9.4,-303.9806904654454,-63.98717619668051
9.5,-310.4474509766073,-64.66760511161888
9.600000000000001,-316.98225377696446,-65.34802800357143
9.700000000000001,-323.58509826419413,-66.02844487229676
9.8,-330.25598383594945,-66.70885571755346
9.9,-336.99490988985946,-67.38926053910012
